title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,coffee_name,coffee_review_url,coffee_brand_url,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,is_blend
Panama Renaissance Series Flora Geisha Washed,Coffeebox Coffee,94,"Taipei, Taiwan","Boquete growing region, western Panama",Light,68/94,NT $800/227 grams,February 2025,9,9.0,8,9,9,,Panama Renaissance Series Flora Geisha Washed,https://www.coffeereview.com/review/panama-renaissance-series-flora-geisha-washed/,https://shop.coffeebox.tw/,0,0,1,0,0,0
Costa Rica Tarrazu,Jaunt Coffee Roasters,93,"San Diego, California","Tarrazu, Costa Rica",Medium-Light,58/80,$22.00/12 ounces,February 2025,9,8.0,9,9,8,,Costa Rica Tarrazu,https://www.coffeereview.com/review/costa-rica-tarrazu-5/,https://jauntcoffee.com/,0,0,1,0,0,0
Kenya Embu Gicherori PB Washed,Coffeebox Coffee,93,"Taipei, Taiwan","Embu Country, Kenya",Light,72/94,NT $390/227 grams,February 2025,9,9.0,8,9,8,,Kenya Embu Gicherori PB Washed,https://www.coffeereview.com/review/kenya-embu-gicherori-pb-washed/,https://shop.coffeebox.tw/,1,0,0,0,0,0
The Secret of Colombia,Coffeebox Coffee,92,"Taipei, Taiwan",Costa Rica; Colombia,Light,70/91,NT $390/227 grams,February 2025,9,9.0,8,9,7,,The Secret of Colombia,https://www.coffeereview.com/review/the-secret-of-colombia/,https://shop.coffeebox.tw/,0,0,1,0,0,1
Ethiopia Coffee Lamp Series Worka Natural G1,Coffeebox Coffee,92,"Taipei, Taiwan","Gedeb District, Gedeo Zone, southern Ethiopia",Light,62/86,NT $380/227 grams,February 2025,8,8.0,9,9,8,,Ethiopia Coffee Lamp Series Worka Natural G1,https://www.coffeereview.com/review/ethiopia-coffee-lamp-series-worka-natural-g1/,https://shop.coffeebox.tw/,1,0,0,0,0,0
Guatemala La Minita La Flor Peaberry Washed,Coffeebox Coffee,91,"Taipei, Taiwan","Antigua Department, Guatemala",Medium-Light,54/70,NT $320/227 grams,February 2025,8,8.0,8,9,8,,Guatemala La Minita La Flor Peaberry Washed,https://www.coffeereview.com/review/guatemala-la-minita-la-flor-peaberry-washed/,https://shop.coffeebox.tw/,0,0,1,0,0,0
Colombia San Martin Bourbon Aji Star Fruit Peach Honey,GK Coffee,95,"Yilan, Taiwan","Huila Department, Colombia",Light,64/88,NT $650/200 grams,February 2025,9,9.0,9,9,9,,Colombia San Martin Bourbon Aji Star Fruit Peach Honey,https://www.coffeereview.com/review/colombia-san-martin-bourbon-aji-star-fruit-peach-honey/,https://www.gkcoffee.com.tw,0,0,0,0,0,0
Taiwan COE #3 Alishan Zhou Zhu Yuan Geisha Natural,GK Coffee,94,"Yilan, Taiwan","Alishan, Taiwan",Light,62/80,"NT $2,700/100 grams",February 2025,9,9.0,9,9,8,,Taiwan COE #3 Alishan Zhou Zhu Yuan Geisha Natural,https://www.coffeereview.com/review/taiwan-coe-3-alishan-zhou-zhu-yuan-geisha-natural/,https://www.gkcoffee.com.tw,0,0,0,0,1,0
Taiwan COE#9 Alishan Zhuo Wu Farm Geisha Honey,GK Coffee,92,"Yilan, Taiwan","Alishan, Taiwan",Light,62/82,"NT $1,800/100 grams",February 2025,8,9.0,9,9,7,,Taiwan COE#9 Alishan Zhuo Wu Farm Geisha Honey,https://www.coffeereview.com/review/taiwan-coe9-alishan-zhuo-wu-farm-geisha-honey/,https://www.gkcoffee.com.tw,0,0,0,0,1,0
Las Margaritas Colombia Sudan Rume Natural,JBC Coffee Roasters,95,"Madison, Wisconsin","Caicendonia, Valle Del Cauca, Cauca Department, Colombia",Light,62/86,$25.00/8 ounces,February 2025,9,9.0,9,9,9,,Las Margaritas Colombia Sudan Rume Natural,https://www.coffeereview.com/review/las-margaritas-colombia-sudan-rume-natural/,https://www.jbccoffeeroasters.com/product-category/coffee/,0,0,0,0,0,0
Yabitu Koba Ethiopia,JBC Coffee Roasters,95,"Madison, Wisconsin","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/78,$23.00/12 ounces,February 2025,9,,9,9,9,9.0,Yabitu Koba Ethiopia,https://www.coffeereview.com/review/yabitu-koba-ethiopia-2/,https://www.jbccoffeeroasters.com/product-category/coffee/,1,0,0,0,0,0
Pantan Musara Sumatra,JBC Coffee Roasters,94,"Madison, Wisconsin","Aceh Province, Sumatra, Indonesia",Medium-Light,57/80,$23.00/12 ounces,February 2025,9,8.0,9,9,9,,Pantan Musara Sumatra,https://www.coffeereview.com/review/pantan-musara-sumatra-4/,https://www.jbccoffeeroasters.com/product-category/coffee/,0,0,0,0,1,0
Ethiopia Yirgacheffe Misty Valley Aricha Washed G1,Buon Caffe,94,"Taipei, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Light,65/93,NT $339/8 ounces,February 2025,9,9.0,9,9,8,,Ethiopia Yirgacheffe Misty Valley Aricha Washed G1,https://www.coffeereview.com/review/ethiopia-yirgacheffe-misty-valley-aricha-washed-g1/,https://www.buoncaffe.com.tw/,1,0,0,0,0,0
Kenya Kirinyaga Karimikui Factory AA TOP Washed,Buon Caffe,93,"Taipei, Taiwan","Kirinyaga District, south-central Kenya",Light,62/82,NT $399/8 ounces,February 2025,8,9.0,9,9,8,,Kenya Kirinyaga Karimikui Factory AA TOP Washed,https://www.coffeereview.com/review/kenya-kirinyaga-karimikui-factory-aa-top-washed/,https://www.buoncaffe.com.tw/,1,0,0,0,0,0
Ethiopia Guji Uraga Raro Washed G1,Buon Caffe,93,"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,68/90,NT $329/8 ounces,February 2025,9,9.0,8,9,8,,Ethiopia Guji Uraga Raro Washed G1,https://www.coffeereview.com/review/ethiopia-guji-uraga-raro-washed-g1/,https://www.buoncaffe.com.tw/,1,0,0,0,0,0
Dembi Ethiopia Natural,JBC Coffee Roasters,93,"Madison, Wisconsin","Sidamo growing region, southern Ethiopia",Medium-Light,60/77,$22.00/12 ounces,February 2025,9,8.0,9,9,8,,Dembi Ethiopia Natural,https://www.coffeereview.com/review/dembi-ethiopia-natural/,https://www.jbccoffeeroasters.com/product-category/coffee/,1,0,0,0,0,0
